"","name","semimajor_axis","radius","mass","density","eccentricity","insolation","temprature","escape_vel","ESI","SType","TType","parent"
"133","TOI-431 b",0.0113,1.28,3.07,8,0,NA,1862,1.548688962,0.122325323,"E","H",133
"134","TOI-431 c",0.052,NA,2.83,NA,0,NA,867,NA,NA,"E","H",133
"135","TOI-431 d",0.098,3.29,9.9,1.36,0,NA,633,1.734681106,0.305722943,"S","H",133
"136","TOI-4562 b",0.768,12.53,732,2.06,0.76,NA,318,7.643284143,0.425758987,"J","W",136
"137","TOI-4600 b",0.349,6.8,959.84179,16.82910069,0.25,NA,347,11.88079141,0.390564736,"J","W",137
"138","TOI-4600 c",1.152,9.42,2946.26933,19.43156273,0.21,NA,191,17.68523239,0.346202866,"J","C",137
"139","TOI-663 b",0.0295,2.27,4.45,2.07,NA,49.1,674,1.40012586,0.332722062,"S","H",139
"140","TOI-663 c",0.0437,2.26,3.65,1.73,NA,22.3,553,1.270843912,0.394009733,"S","H",139
"141","TOI-663 d",0.0576,1.92,5.2,4,NA,12.9,482,1.645701472,0.515389079,"S","H",139
"142","TOI-782 b",0.0578,2.734,19.1,7.99,0.19,5.91,435,2.643123333,0.511807782,"S","H",142
"143","TOI-836 b",0.0422,1.704,4.53,5.02,0.053,78.84,871,1.630475607,0.298610791,"E","H",143
"144","TOI-836 c",0.075,2.587,9.6,3.06,0.078,26.71,665,1.92635978,0.345413894,"S","H",143
"145","Teegarden's Star b",0.0259,NA,1.16,NA,0.03,1.08,277,NA,NA,"E","W",145
"146","Teegarden's Star c",0.0455,NA,1.05,NA,0.04,0.35,209,NA,NA,"E","W",145
"147","Teegarden's Star d",0.0791,NA,0.82,NA,0.07,0.12,159,NA,NA,"R","C",145
"148","WASP-153 b",0.048,17.374,123.9537,0.15,0.009,1400,1700,2.671036599,0.045834301,"J","H",148
"149","WASP-166 b",0.0641,7.062,32.10083,0.54,0,440,1270,2.132034727,0.103705536,"J","H",149
"150","WASP-57 b",0.03769,11.769,204.68252,0.693,NA,NA,1338,4.17033167,0.088899199,"J","H",150
"151","WASP-59 b",0.0697,8.687,274.276,2.4,0.1,NA,670,5.618999492,0.246958987,"J","H",151
"152","Wolf 503 b",0.05712,2.043,6.27,4.03,0.409,64.7,789,1.751860769,0.313418027,"S","H",152
