pl_name,hostname,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,ra,dec,sy_vmag,EscVal,ESI,lmin,lmax,SType,TType,Show
Kepler-968 c,Kepler-968,3,5.70940492,,1.69,,,,,644,,4598,0.7,0.76,0.13,-0.706638202,285.6025889,50.1120401,14.626,,,0.740282307,0.438849991,E,H,1
LP 791-18 b,LP 791-18,3,0.9479981,0.00978,1.212,,,,24.14,564,M(6.1 +/- 0.7) V,2960,0.18,0.14,-0.09,-2.638,165.6904843,-16.4064445,16.91,,,0.080115486,0.047493611,E,H,1
LP 791-18 c,LP 791-18,3,4.9899093,0.02961,2.438,7.1,2.701128451,8.00E-05,2.64,324,M(6.1 +/- 0.7) V,2960,0.18,0.14,-0.09,-2.638,165.6904843,-16.4064445,16.91,1.706523699,0.657542519,0.080115486,0.047493611,S,W,1
LP 791-18 d,LP 791-18,3,2.753436,0.01992,1.032,0.9,4.514310323,0.0015,5.83,396,M(6.1 +/- 0.7) V,2960,0.18,0.14,-0.09,-2.638,165.6904843,-16.4064445,16.91,0.93385921,0.685961266,0.080115486,0.047493611,E,W,1
LP 890-9 b,LP 890-9,2,2.7299025,0.01875,1.32,13.2,31.6402663,,4.09,396,M6 V,2850,0.16,0.12,-0.028,-2.841,64.1309096,-28.3157909,18,3.16227766,0.442689869,0.063418574,0.037595442,E,W,1
LP 890-9 c,LP 890-9,2,8.457463,0.03984,1.367,25.3,54.60129837,,0.91,272,M6 V,2850,0.16,0.12,-0.028,-2.841,64.1309096,-28.3157909,18,4.302055445,0.499552191,0.063418574,0.037595442,E,W,1
TOI-1052 b,TOI-1052,2,9.139703,0.09103,2.87,16.9,3.93,0.18,246,1135,,6146,1.26,1.2,0.14,0.308001164,337.5102738,-75.6465606,9.511,2.426623527,0.194744388,2.380767871,1.411353409,S,H,1
TOI-1052 c,TOI-1052,2,35.806,0.2263,,34.3,,0.237,39.7,719,,6146,1.26,1.2,0.14,0.308001164,337.5102738,-75.6465606,9.511,,,2.380767871,1.411353409,N,H,1
TOI-1231 b,TOI-1231,1,24.245586,0.1288,3.65,15.4,1.74,0.087,1.93,330,M3 V,3553,0.48,0.48,0.041,-1.487,156.74726,-52.4678724,12.36,2.054063797,0.558693014,0.301450821,0.178704379,N,W,1
TOI-125 b,TOI-125,3,4.65382,0.05186,2.726,9.5,2.57,0.194,185,1037,K0 V,5320,0.85,0.86,-0.02,-0.285,23.5934253,-66.6763495,11.023,1.866804662,0.208154789,1.202863845,0.713074974,S,H,1
TOI-125 c,TOI-125,3,9.15059,0.0814,2.759,6.63,1.73,0.066,77.59,828,K0 V,5320,0.85,0.86,-0.02,-0.285,23.5934253,-66.6763495,11.023,1.550175661,0.251424625,1.202863845,0.713074974,S,H,1
TOI-125 d,TOI-125,3,19.98,0.137,2.93,13.6,2.98,0.168,26.7,638,K0 V,5320,0.85,0.86,-0.02,-0.285,23.5934253,-66.6763495,11.023,2.154446153,0.34917382,1.202863845,0.713074974,S,H,1
TOI-1386 b,TOI-1386,2,25.8401,0.173,6.216,45.8,1.04,0,,615,,5735,1.02,1.04,0.149,0.01,334.5041029,54.3190454,10.61,2.714421185,0.261008141,1.689337689,1.00146366,J,H,1
TOI-1386 c,TOI-1386,2,232,0.75,,75.2,,0.38,,,,5735,1.02,1.04,0.149,0.01,334.5041029,54.3190454,10.61,,,1.689337689,1.00146366,J,H,1
TOI-1422 b,TOI-1422,1,12.9972,0.108,3.96,9,0.795,0.04,,867,G2 V,5840,1.02,0.98,-0.09,0.048,354.240829,39.6392793,10.622,1.507556723,0.194457665,1.76488524,1.046249334,N,H,1
TOI-1468 b,TOI-1468,2,1.8805136,,1.28,3.21,8.438458443,,36,682,M3.0 V,3496,0.34,0.34,-0.04,-1.797,16.6538724,19.2249195,12.5,1.583607432,0.377204095,0.210967944,0.125064829,E,H,1
TOI-1468 c,TOI-1468,2,15.532482,,2.064,6.64,4.163197298,,2.15,338,M3.0 V,3496,0.34,0.34,-0.04,-1.797,16.6538724,19.2249195,12.5,1.793614859,0.69087116,0.210967944,0.125064829,S,W,1
